Klasse,minimumSteigungWert,maximumSteigungWert,minimumSenkungWert,maximumSenkungWert,steigungA,steigungB,steigungC,senkungA,senkungB,senkungC,mittelA,mittelB,mittelC,gesamtA,gesamtB,gesamtC,fftAnfangMedian,fftAnfangMittel,fftAnfangPSD,fftMitteMedian,fftMitteMittel,fftMittePSD,fftEndeMedian,fftEndeMittel,fftEndePSD,fftGesamtMedian,fftGesamtMittel,fftGesamtPSD,mittelwert,signalstärke,varianz,standardabweichung,energie,kurtosis,schiefe,zeroCrossings,laenge,maximalwert,minimalwert,minimumSteigungWert,maximumSteigungWert,minimumSenkungWert,maximumSenkungWert,steigungA,steigungB,steigungC,senkungA,senkungB,senkungC,mittelA,mittelB,mittelC,gesamtA,gesamtB,gesamtC,fftAnfangMedian,fftAnfangMittel,fftAnfangPSD,fftMitteMedian,fftMitteMittel,fftMittePSD,fftEndeMedian,fftEndeMittel,fftEndePSD,fftGesamtMedian,fftGesamtMittel,fftGesamtPSD,mittelwert,signalstärke,varianz,standardabweichung,energie,kurtosis,schiefe,zeroCrossings,laenge,maximalwert,minimalwert,minimumSteigungWert,maximumSteigungWert,minimumSenkungWert,maximumSenkungWert,steigungA,steigungB,steigungC,senkungA,senkungB,senkungC,mittelA,mittelB,mittelC,gesamtA,gesamtB,gesamtC,fftAnfangMedian,fftAnfangMittel,fftAnfangPSD,fftMitteMedian,fftMitteMittel,fftMittePSD,fftEndeMedian,fftEndeMittel,fftEndePSD,fftGesamtMedian,fftGesamtMittel,fftGesamtPSD,mittelwert,signalstärke,varianz,standardabweichung,energie,kurtosis,schiefe,zeroCrossings,laenge,maximalwert,minimalwert
Finger1,83.57783770307532,283.14533756735665,93.5221360151978,305.61038577045645,286.21884742141424,-41.691256596237736,0.07061484543666552,438.91878551698915,-7.131240133323672,0.04051099821919801,438.91878551698915,-7.131240133323672,0.04051099821919801,438.91878551698915,-7.131240133323672,0.04051099821919801,11.0,17.26569178904801,4.1982229987639303E9,0.0,0.0,1105212.5564228098,0.0,0.0,0.0,0.0,0.0,0.0,-24.31474208016529,24963.19406541567,251915.16159958474,501.91150773775325,7594650.252681975,0.20316431021512837,0.3140584723397754,7.0,121.0,1312.1246,-1145.1508,75.24313781145058,267.9785398042958,140.6534108041389,294.94858181774606,270.89329815621295,-55.60749337987784,3.2036195404915873,142.00341972326396,54.65370932898804,-4.835258913490897,142.00341972326396,54.65370932898804,-4.835258913490897,142.00341972326396,54.65370932898804,-4.835258913490897,0.0,0.7584302012848377,628113.9310942459,0.0,0.3595258695601505,3657144.6765763583,1.0,0.8456029781063384,2.1751630212024678E7,0.0,0.0,0.0,-383.6831200714286,3001.4583763345872,66280.1032873005,257.4492246779945,732015.9503941413,-0.9299012971526763,0.5572466605937259,1.0,14.0,135.55298,-696.09375,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Finger1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,167.94782518499838,468.1276775634844,246.14251415372814,552.1461133576594,470.36764034516807,-98.47690631685055,7.595725487208426,0.0,0.0,0.0,470.36764034516807,-98.47690631685055,7.595725487208426,470.36764034516807,-98.47690631685055,7.595725487208426,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8531220286149975,6.694230833883608E7,0.0,0.0,0.0,621.6395446153846,4921.028778887218,273147.83258551033,522.6354681663983,2095588.9313613565,-0.974678312078137,-0.5360697399932106,1.0,13.0,1266.9067,-412.19788,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Finger1,111.87273785230452,373.95267270634383,152.53403948755223,438.9919889905503,219.11663787325142,18.30052867108691,-0.6853147481410353,219.11663787325142,18.30052867108691,-0.6853147481410353,219.11663787325142,18.30052867108691,-0.6853147481410353,219.11663787325142,18.30052867108691,-0.6853147481410353,3.0,4.013111817330099,1.7268027974115393E8,0.0,0.35922335730434807,8724560.167701712,0.0,0.0,0.0,0.0,0.0,0.0,59.459399000000005,8497.879173816795,398652.5666747,631.3893938566754,2794753.6420812896,-1.5738117018004685,0.02698223881506835,2.0,29.0,1023.7976,-817.84973,172.1213585778162,560.5071031823768,256.02686580953593,639.7345637081844,562.3205440935787,-110.2805153676311,6.385583106575382,269.59378975252093,124.38814635596009,-10.694360862867185,269.59378975252093,124.38814635596009,-10.694360862867185,269.59378975252093,124.38814635596009,-10.694360862867185,0.0,0.8319354797148311,1180295.6789274418,0.0,0.35849940105957895,1.6198513069640722E7,1.0,0.8430403563243439,9.85109666667913E7,0.0,0.0,0.0,-780.918664,6334.952830935377,339328.3559211005,582.5189747305237,3279999.323468732,-1.0940643937119177,0.43209555196851407,1.0,14.0,331.22864,-1526.3306,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Finger1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,159.06702329698305,548.5114336501305,187.56949023143406,605.981709736758,187.21525513569486,133.19587024861244,-11.900364048664542,187.21525513569486,133.19587024861244,-11.900364048664542,187.21525513569486,133.19587024861244,-11.900364048664542,187.21525513569486,133.19587024861244,-11.900364048664542,1.0,1.0929173934042933,3242834.4946613777,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,655.3999734615385,5087.839566396004,295897.7669389192,543.9648581837978,2316521.264545304,-1.264688121519997,-0.23352506069046586,1.0,13.0,1380.304,-339.5874,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Finger1,170.63567622156768,433.9950134372907,104.03277352772152,490.0968355777286,0.0,0.0,0.0,514.4068099865563,11.116136448576071,-5.305096072300557,0.0,0.0,0.0,153.37973385872783,-0.0066705188152660355,-0.0010981122776212299,0.0,0.0,0.0,0.0,0.7973813907926887,4.621136274628621E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.53655034963985,231.49656181967177,62.300776120937364,245.08232779227146,235.33893570268987,-51.295919608545944,2.792308196449156,235.33893570268987,-51.295919608545944,2.792308196449156,235.33893570268987,-51.295919608545944,2.792308196449156,235.33893570268987,-51.295919608545944,2.792308196449156,0.0,0.7758072634830997,110502.42922098727,0.0,0.35913042611497836,2000427.2106105878,0.0,0.0,0.0,0.0,0.0,0.0,300.59182014285716,2380.738159628691,51930.20715834397,227.8820027082963,491139.9286304302,-1.689336305212725,-0.010555223401598318,1.0,14.0,607.37,-24.472046,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Finger1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55.293717160886175,299.30778063418336,91.09286486914553,298.30835655889905,69.44954280274396,67.70474063904567,-4.726842929703366,69.44954280274396,67.70474063904567,-4.726842929703366,69.44954280274396,67.70474063904567,-4.726842929703366,69.44954280274396,67.70474063904567,-4.726842929703366,1.0,1.0450336112333531,3469190.010352547,0.0,0.3572589013813939,3961652.917080341,0.0,0.0,0.0,0.0,0.0,0.0,388.0594260625,3374.4763293916894,65549.08306150124,256.0255515793321,850701.9639646433,-1.5355746412618017,-0.10879123891068636,0.0,16.0,764.17236,10.171509,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Finger1,96.3564670938596,280.11350420363544,132.96772146347902,341.20446515195255,357.5924131154784,-1.265066186308104,-4.626229864382367,357.5924131154784,-1.265066186308104,-4.626229864382367,357.5924131154784,-1.265066186308104,-4.626229864382367,357.5924131154784,-1.265066186308104,-4.626229864382367,3.0,4.571187566815427,1.4481954354111767E8,0.0,0.3342511720832112,1.0557336088223778E7,0.0,0.0,0.0,0.0,0.0,0.0,-63.96257764516123,7779.109650399838,292541.9299872556,540.8714542174098,2240582.951235386,-1.1976328249761028,0.45942332773823996,2.0,31.0,917.55066,-740.10315,183.52342724769719,350.2185913734167,156.8934432655721,365.22607430507475,151.674692866726,-6.714872595806469,0.10456195131428259,151.674692866726,-6.714872595806469,0.10456195131428259,151.674692866726,-6.714872595806469,0.10456195131428259,151.674692866726,-6.714872595806469,0.10456195131428259,12.0,16.5438009422998,1.7203409973443425E8,0.0,0.0,1652866.0955545602,0.0,0.0,0.0,0.0,0.0,0.0,-13.909985774390268,9004.495983015504,78746.11386117368,280.6173798273615,1622402.2117623535,1.1969845779701167,-1.280452112471679,6.0,82.0,381.48193,-796.2982,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Finger1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,212.0829496821428,339.60844790352513,108.77011075982074,387.5785146829389,400.5147813566483,0.34909023560067,-7.253193339467543,400.5147813566483,0.34909023560067,-7.253193339467543,400.5147813566483,0.34909023560067,-7.253193339467543,400.5147813566483,0.34909023560067,-7.253193339467543,2.0,1.845158067265034,91320.53462459832,0.0,0.35370640362190725,7544953.980245782,1.0,0.837794421422061,3.567998204871427E7,0.0,0.0,0.0,-427.29065080000004,4174.124510325557,154247.40697999139,392.7434365842304,1289210.3951065352,-1.5557653164853458,0.4759102005304462,1.0,15.0,197.89124,-831.94885,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Finger1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,58.58620359546766,259.8572039742464,141.02388763160909,284.73465596431555,169.14980548766835,0.8609506426520852,-0.015537881035486478,169.14980548766835,0.8609506426520852,-0.015537881035486478,169.14980548766835,0.8609506426520852,-0.015537881035486478,169.14980548766835,0.8609506426520852,-0.015537881035486478,2.0,3.7717878043753474,3.5874226812778306E8,0.0,0.0,406382.8923356224,0.0,0.0,0.0,0.0,0.0,0.0,-185.22784861538477,6939.2918825017705,107763.97914688896,328.274243806743,1338020.9837167524,1.8722962217911556,1.8221892957717598,1.0,39.0,759.8419,-468.29224,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Finger1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,163.37221804769806,378.4633269859224,86.99699020227078,450.54057113371323,149.4185937309844,16.365191424251293,-0.44661003779858177,149.4185937309844,16.365191424251293,-0.44661003779858177,149.4185937309844,16.365191424251293,-0.44661003779858177,149.4185937309844,16.365191424251293,-0.44661003779858177,2.0,3.7049794359783603,1.4490821831524274E8,0.0,0.0,2280756.2026062533,0.0,0.0,0.0,0.0,0.0,0.0,7.027975607142849,7274.755422384566,314459.1929272592,560.7666118156993,2213498.0889044357,-1.1052186374943216,0.5322357857360124,1.0,28.0,1085.8337,-710.495,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
