Klasse,minimumSteigungWert,maximumSteigungWert,minimumSenkungWert,maximumSenkungWert,steigungA,steigungB,steigungC,senkungA,senkungB,senkungC,mittelA,mittelB,mittelC,gesamtA,gesamtB,gesamtC,fftAnfangMedian,fftAnfangMittel,fftAnfangPSD,fftMitteMedian,fftMitteMittel,fftMittePSD,fftEndeMedian,fftEndeMittel,fftEndePSD,fftGesamtMedian,fftGesamtMittel,fftGesamtPSD,mittelwert,signalstärke,varianz,standardabweichung,energie,kurtosis,schiefe,zeroCrossings,laenge,maximalwert,minimalwert,minimumSteigungWert,maximumSteigungWert,minimumSenkungWert,maximumSenkungWert,steigungA,steigungB,steigungC,senkungA,senkungB,senkungC,mittelA,mittelB,mittelC,gesamtA,gesamtB,gesamtC,fftAnfangMedian,fftAnfangMittel,fftAnfangPSD,fftMitteMedian,fftMitteMittel,fftMittePSD,fftEndeMedian,fftEndeMittel,fftEndePSD,fftGesamtMedian,fftGesamtMittel,fftGesamtPSD,mittelwert,signalstärke,varianz,standardabweichung,energie,kurtosis,schiefe,zeroCrossings,laenge,maximalwert,minimalwert,minimumSteigungWert,maximumSteigungWert,minimumSenkungWert,maximumSenkungWert,steigungA,steigungB,steigungC,senkungA,senkungB,senkungC,mittelA,mittelB,mittelC,gesamtA,gesamtB,gesamtC,fftAnfangMedian,fftAnfangMittel,fftAnfangPSD,fftMitteMedian,fftMitteMittel,fftMittePSD,fftEndeMedian,fftEndeMittel,fftEndePSD,fftGesamtMedian,fftGesamtMittel,fftGesamtPSD,mittelwert,signalstärke,varianz,standardabweichung,energie,kurtosis,schiefe,zeroCrossings,laenge,maximalwert,minimalwert
Finger3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33.318974406120745,289.18427284894125,66.1233968897352,304.731071310647,296.4649713774435,-81.7826278366727,5.567184082178684,296.4649713774435,-81.7826278366727,5.567184082178684,296.4649713774435,-81.7826278366727,5.567184082178684,89.86748623441281,-1.2721529420053557,0.006333999582567168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5196706935930713,12821.014482650278,23459.7642893966,153.16580652807792,1347856.5655269118,6.602576474778317,1.4419805103148877,17.0,231.0,780.58777,-374.43237,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Finger3,75.60956422303879,316.1580263527166,87.45432181877281,348.2403933838773,233.092973284545,-0.6991933170054097,0.0015466839669396881,233.092973284545,-0.6991933170054097,0.0015466839669396881,233.092973284545,-0.6991933170054097,0.0015466839669396881,233.092973284545,-0.6991933170054097,0.0015466839669396881,13.0,18.08955973101221,2.4184895843463078E9,0.0,0.0,1077647.7690334225,1.0,0.8518957349793012,2.890477997997324E7,0.0,0.0,0.0,-47.72876721186441,23514.78553748211,195844.78734306662,442.5435428780615,5815411.10915733,-0.9408480951840619,-0.11647907161252656,6.0,118.0,646.4447,-1023.8983,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,102.89394659310258,255.46703316162456,161.12973750271047,342.5979246718104,255.518107686235,-40.55305057422663,2.0003034412765714,195.0342317691709,43.29738153039864,-3.4952974800009073,195.0342317691709,43.29738153039864,-3.4952974800009073,195.0342317691709,43.29738153039864,-3.4952974800009073,1.0,1.0004842721626537,1808150.1472990187,0.0,0.8174327633351519,2.2982112671476137E7,0.0,0.0,0.0,0.0,0.0,0.0,-357.3371881249999,3982.064618703783,164933.33558288956,406.1198537167194,1098117.9839807688,-1.1541982072878025,0.7256648182413457,1.0,16.0,374.13025,-769.9127
Finger3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,102.69257561861541,403.3181641006272,146.51802811791688,449.8592085086604,95.34704581701067,36.737685387930185,-1.3457561168445729,95.34704581701067,36.737685387930185,-1.3457561168445729,95.34704581701067,36.737685387930185,-1.3457561168445729,95.34704581701067,36.737685387930185,-1.3457561168445729,1.0,1.9969014259293878,9.522572530662933E7,0.0,0.0,0.0,1.0,1.9819408339969127,1.4439470391865003E8,0.0,0.0,0.0,53.96870535714286,7230.472470734483,310165.83764228463,556.9253429700292,2132851.1933364742,-0.8892394193894617,0.5282572434812991,2.0,28.0,1296.0114,-653.7964,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Finger3,135.93310816563263,424.2427784054303,100.93224173437507,516.0682957686769,430.1102305244807,-62.704419753792536,0.4913393616420194,430.1102305244807,-62.704419753792536,0.4913393616420194,430.1102305244807,-62.704419753792536,0.4913393616420194,430.1102305244807,-62.704419753792536,0.4913393616420194,11.0,16.96257920638398,2.279816851358127E9,1.0,0.8404213611865192,7.68554106848844E7,1.0,0.8246354350765833,5.366639158698187E7,0.0,0.0,0.0,-63.96463259770113,25172.44938432321,443033.544671359,665.6076507007406,9672817.072303275,-0.8807256072543899,-0.6476337639037693,3.0,87.0,835.87646,-1528.949,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,73.34055464313703,338.9398755548402,92.85943744526661,393.05767645589316,405.8805244694221,-6.600669860839844,-6.600673675537109,113.15670737046548,91.97951026272631,-8.588478895988565,113.15670737046548,91.97951026272631,-8.588478895988565,113.15670737046548,91.97951026272631,-8.588478895988565,1.0,1.135037850316819,445000.6778096575,0.0,0.0,853954.6739870224,1.0,0.8729984642788324,3.377000623235493E7,0.0,0.0,0.0,-346.48977192307694,3062.9277150476896,178925.8273232961,422.9962497745058,922527.9700150379,-1.4768050384709928,-0.2076205232775503,1.0,13.0,182.78503,-1046.6583
Finger3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34.730387607241305,231.03342431776142,58.45196881812024,232.72562422910323,237.71000581451443,-45.049096313482494,0.46813601506552516,16.246167178891938,53.491658970149444,-3.096055022095719,16.246167178891938,53.491658970149444,-3.096055022095719,16.246167178891938,53.491658970149444,-3.096055022095719,1.0,0.9078267495953761,1754948.161206238,0.0,0.33515827708137164,4251895.526751133,0.0,0.8092545655178999,1.5245632432923712E7,0.0,0.0,0.0,-297.2564697166666,2950.1966173745436,46024.788262235226,214.53388604655262,593944.3742316838,-1.497847911924572,0.12489856679596241,1.0,18.0,24.673462,-595.48645,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Finger3,106.42238806039211,623.9364048158362,95.1611700237882,729.2788139907964,156.86623918095074,23.07510370568548,-0.4458771811147688,185.30963047442538,19.111916338757624,-0.40183475008470637,156.86623918095074,23.07510370568548,-0.4458771811147688,156.86623918095074,23.07510370568548,-0.4458771811147688,2.0,3.654304792657065,5.545717400228283E8,0.0,0.35714285714285715,2.2402912686628465E7,1.0,0.8446516610944461,1.1736595355536745E8,0.0,0.0,0.0,29.05302912195123,15481.3800567687,752635.2477973767,867.5455306768497,7567392.048714571,-0.897442961790968,-0.4865773975640946,1.0,41.0,1161.3647,-1704.6844,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Finger3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15.143852703029689,201.74960689220148,79.79991801788209,250.2352809725959,97.09422729213281,52.76283956944093,-5.31370851758842,97.09422729213281,52.76283956944093,-5.31370851758842,97.09422729213281,52.76283956944093,-5.31370851758842,97.09422729213281,52.76283956944093,-5.31370851758842,1.0,1.1600943699275035,132834.8789621637,0.0,0.0,622913.4315268225,0.0,0.0,0.0,0.0,0.0,0.0,227.41417500000003,1923.815905752586,70357.39537022791,265.2496849578297,371422.09552493674,-1.6971440918256917,-0.013582835560000608,1.0,13.0,584.00574,-138.47351,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Finger3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15.484457791030849,183.74063145765058,98.05957580534982,179.1122891216451,202.8068093551849,24.70285220879805,-7.449767350802745,202.8068093551849,24.70285220879805,-7.449767350802745,202.8068093551849,24.70285220879805,-7.449767350802745,202.8068093551849,24.70285220879805,-7.449767350802745,31.0,37.309372764084905,3.189037310614218E8,0.0,0.3346534934678887,2474498.31267172,0.0,0.0,0.0,0.0,0.0,0.0,-7.760217037924532,10174.146044361532,24115.99084502,155.29324146600842,949356.827251009,0.5804245601868914,-0.41949360453696943,10.0,159.0,361.13892,-500.21667,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Finger3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,91.4506535125006,392.2335837897456,82.90468349407523,441.7311606776006,31.206121781794536,23.29826583844033,-0.5443487409045282,31.206121781794536,23.29826583844033,-0.5443487409045282,31.206121781794536,23.29826583844033,-0.5443487409045282,0.0,0.0,0.0,2.0,3.955629743496448,1.974832495871461E8,0.0,0.0,1135485.0956894448,1.0,0.8596213713623094,4.25714001217817E7,0.0,0.0,0.0,-48.2757592424242,7103.936785859938,231796.11929679746,481.45209449829736,1899887.7787700905,0.07759529945934629,1.1474027679492063,2.0,33.0,1108.493,-545.7367,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Finger3,206.89741502048903,552.6046736330599,113.23192531228933,586.1680584192294,288.5075426747644,1.73099039909971,0.05470232484023896,288.5075426747644,1.73099039909971,0.05470232484023896,288.5075426747644,1.73099039909971,0.05470232484023896,0.0,0.0,0.0,2.0,3.6307626048027153,2.6129687682660508E8,0.0,0.0,3836388.1689000004,0.0,0.0,0.0,7.0,9.721280811307533,9.73569579385673E8,3.5449194857142725,11876.304599404828,545432.0004706251,738.5336826920118,4761671.129446798,-1.256771783078565,-0.3966530591538809,2.0,35.0,893.38074,-1319.3756,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34.62348003326339,208.16275212717932,105.9375862319771,246.12871077594463,142.77707569988797,-3.128451802366328,0.09082419556438914,142.77707569988797,-3.128451802366328,0.09082419556438914,142.77707569988797,-3.128451802366328,0.09082419556438914,142.77707569988797,-3.128451802366328,0.09082419556438914,3.0,4.370729720297713,7.726273609741513E7,0.0,0.3493073248136941,1023396.1388031591,1.0,0.8610096372957964,1.3963837613464879E7,0.0,0.0,0.0,-4.735733092682919,5299.377316978359,83937.06967085804,289.71894945077037,831529.8415005322,-0.7157210268130965,-0.5333246629504808,4.0,41.0,401.92566,-663.36365
