Klasse,minimumSteigungWert1,maximumSteigungWert1,minimumSenkungWert1,maximumSenkungWert1,steigungA1,steigungB1,steigungC1,senkungA1,senkungB1,senkungC1,mittelA1,mittelB1,mittelC1,gesamtA1,gesamtB1,gesamtC1,fftAnfangMedian1,fftAnfangMittel1,fftAnfangPSD1,fftMitteMedian1,fftMitteMittel1,fftMittePSD1,fftEndeMedian1,fftEndeMittel1,fftEndePSD1,fftGesamtMedian1,fftGesamtMittel1,fftGesamtPSD1,mittelwert1,signalstärke1,varianz1,standardabweichung1,energie1,kurtosis1,schiefe1,zeroCrossings1,laenge1,maximalwert1,minimalwert1,minimumSteigungWert2,maximumSteigungWert2,minimumSenkungWert2,maximumSenkungWert2,steigungA2,steigungB2,steigungC2,senkungA2,senkungB2,senkungC2,mittelA2,mittelB2,mittelC2,gesamtA2,gesamtB2,gesamtC2,fftAnfangMedian2,fftAnfangMittel2,fftAnfangPSD2,fftMitteMedian2,fftMitteMittel2,fftMittePSD2,fftEndeMedian2,fftEndeMittel2,fftEndePSD2,fftGesamtMedian2,fftGesamtMittel2,fftGesamtPSD2,mittelwert2,signalstärke2,varianz2,standardabweichung2,energie2,kurtosis2,schiefe2,zeroCrossings2,laenge2,maximalwert2,minimalwert2
Finger1,103.0645278266881,303.567140539428,128.96296437549282,369.5792581950235,250.1921004152107,-18.30107557443307,0.7066832933267051,250.1921004152107,-18.30107557443307,0.7066832933267051,250.1921004152107,-18.30107557443307,0.7066832933267051,204.73660277631598,-0.647903414610866,0.003170082991929113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.604441387625911,25051.67336350214,167755.84607845938,409.58008506085764,5807212.202722632,-0.5543625346200534,0.49268340299939095,12.0,139.0,1041.5222,-747.052,165.7333308054499,500.3662814634698,51.50138034829975,552.7810694578094,577.3264568285094,14.124517496744375,-15.01059032845751,92.6620805937946,3.0614129468607416,-0.010581290685084899,505.53128602257266,-63.606479458347394,-1.104573962044924,92.6620805937946,3.0614129468607416,-0.010581290685084899,21.0,33.45489137849556,1.5584459296898592E10,0.0,0.355365405639504,1.5151719531056419E7,1.0,0.8303417672952769,7.719420721011078E7,23.0,36.263823503203916,2.7512206928935485E9,4.605584584210512,53939.9507859848,374949.36361298093,612.33108986314,1.9610517932374004E7,-0.3150382965233356,-0.32310363186410146,12.0,209.0,1385.6415,-1385.9436
Finger1,57.32394547762051,241.33699425507334,64.15459797744899,269.9480008029061,59.75259437453542,17.95895705894401,-0.6017711585715553,59.75259437453542,17.95895705894401,-0.6017711585715553,59.75259437453542,17.95895705894401,-0.6017711585715553,59.75259437453542,17.95895705894401,-0.6017711585715553,3.0,4.131818121497142,3.975815198719219E7,0.0,0.0,0.0,1.0,0.8425382128471526,1.7923164313848346E7,0.0,0.0,0.0,-54.32035142307693,4065.4428473843964,117846.90640182911,343.28837207489147,764570.1178357059,-1.369358574777029,-0.4904699914795388,1.0,26.0,324.5819,-628.11584,141.6054230452992,419.77337264142665,117.10308267793273,460.61853213290277,465.5398893693741,-12.706767883822522,0.12082352333594515,465.5398893693741,-12.706767883822522,0.12082352333594515,465.5398893693741,-12.706767883822522,0.12082352333594515,465.5398893693741,-12.706767883822522,0.12082352333594515,11.0,16.72610405713751,3.3326573091818676E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-123.22109018365387,25010.724291441828,339091.3839243157,582.315536392698,9150272.569652418,0.1746444885440348,-0.24188154704050646,11.0,104.0,1199.0295,-1580.2094
Finger1,131.91678085272184,347.64393017528005,89.78931363521812,405.22204775786867,169.8418951953504,27.472072581499503,-0.44357139125343625,169.8418951953504,27.472072581499503,-0.44357139125343625,169.8418951953504,27.472072581499503,-0.44357139125343625,169.8418951953504,27.472072581499503,-0.44357139125343625,6.0,8.839568761196318,3.047655450749731E9,0.0,0.0,1575336.0545561663,0.0,0.0,0.0,0.0,0.0,0.0,25.153646060869555,28646.995615829615,1036837.2522596429,1018.252057331407,1.7693598709995355E7,0.07965724831874743,0.637489142487651,8.0,69.0,2670.877,-1632.9803,134.27415237583944,927.2845960737997,315.39577053513307,897.9725492674969,505.0988262482042,15.438118210232233,-0.23714097626946007,505.0988262482042,15.438118210232233,-0.23714097626946007,505.0988262482042,15.438118210232233,-0.23714097626946007,505.0988262482042,15.438118210232233,-0.23714097626946007,6.0,8.707464914576109,3.2464220739618835E9,1.0,0.9057091574482456,3.249475755942873E8,0.0,0.0,0.0,0.0,0.0,0.0,-607.2227993076923,43732.82067092688,1988534.7880321122,1410.154171724536,3.7715980996524855E7,-1.0699366268211452,-0.06920532856377566,5.0,65.0,1826.4404,-3299.8992
Finger1,80.17760048438282,294.6268898481301,133.7506621029825,334.7067088791335,256.34021813411437,-10.399603298912666,-0.5270864961302948,292.92269990609316,-9.222928507338224,0.12473308709966391,292.92269990609316,-9.222928507338224,0.12473308709966391,292.92269990609316,-9.222928507338224,0.12473308709966391,6.0,8.47304613742569,1.1175492914260155E8,0.0,0.0,1157916.0348741051,0.0,0.0,0.0,0.0,0.0,0.0,20.83471010294117,11695.301215413634,156166.55163494177,395.17913866364677,2623976.158159461,-0.8197931517807482,0.37664763280640057,4.0,68.0,821.0724,-657.11975,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Finger1,129.97697950971767,501.471654675796,85.64119265351924,598.2399325382534,503.61160207639114,-75.59602110447713,-0.006875311027158659,0.0,0.0,0.0,503.61160207639114,-75.59602110447713,-0.006875311027158659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Finger1,75.54338545306015,371.87193504794186,92.86844813465827,443.5846753659023,0.0,0.0,0.0,164.98622454804467,-9.374072850586757,0.130725963674707,164.98622454804467,-9.374072850586757,0.130725963674707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,17.2505691962652,3.984341549056295E8,48.00376079186047,7097.068837190743,70195.33491586204,264.9440222308517,1540267.5767577179,4.514997268968044,2.0190188486162963,6.0,86.0,1015.43884,-366.27502,166.1934879642871,622.7690609014829,48.35995984206103,692.0406345150067,95.12210739439888,4.073885234920361,-0.01272932269124638,0.0,0.0,0.0,95.12210739439888,4.073885234920361,-0.01272932269124638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Finger1,222.14256140800717,510.9691165850856,129.2382472941032,542.9124562830683,75.89902528929542,113.72783170877301,-7.680308414909561,75.89902528929542,113.72783170877301,-7.680308414909561,75.89902528929542,113.72783170877301,-7.680308414909561,75.89902528929542,113.72783170877301,-7.680308414909561,1.0,0.9838014409648946,6810602.786163622,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570.5444295333332,5284.394668386378,240590.2405770141,490.4999903945097,2140183.160190526,-1.4289744899866945,-0.25901670495931356,1.0,15.0,1182.4127,-258.21533,63.757629434403135,324.2486068074876,116.40063988495072,392.32537264771736,324.17842519809494,-83.62342144299316,6.327412186955769,55.177275101583746,5.41853950163879,-0.025356825681225992,324.17842519809494,-83.62342144299316,6.327412186955769,55.177275101583746,5.41853950163879,-0.025356825681225992,22.0,34.40783815037301,7.900463302942605E9,0.0,0.0,1248708.0460307235,0.0,0.0,0.0,0.0,0.0,0.0,-42.56647546777783,48340.93163719947,438653.94200832443,662.3095515001459,1.9707915013983406E7,1.0011557795509463,-0.36505561319266655,13.0,180.0,1529.1504,-2304.7026
Finger1,151.13731907986187,480.27226319461005,145.11007060184846,512.7132281399369,518.4142545319804,0.0,0.0,500.67457625635245,-140.5901021210775,13.436573726016576,500.67457625635245,-140.5901021210775,13.436573726016576,500.67457625635245,-140.5901021210775,13.436573726016576,1.0,1.3018986760104825,352401.72840756824,0.0,NaN,0.0,0.0,0.0,0.0,1.0,1.672694574251068,7.14826963467081E7,462.3756391666666,3870.1666320758104,302360.7280795017,549.8733745868241,1497922.9516113661,-1.7363296540200939,0.13907294497430578,1.0,12.0,1262.0728,-191.04309,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Finger1,85.16803337633975,275.8266562906223,82.5240619710576,322.2042193310641,0.0,0.0,0.0,324.84609636419134,-9.416139602661133,-9.416141510009766,324.84609636419134,-9.416139602661133,-9.416141510009766,324.84609636419134,-9.416139602661133,-9.416141510009766,11.0,16.83234366183306,2.778869571256416E9,0.0,0.0,1265645.6100839057,2.0,2.047499668169421,1.2371153353586072E7,0.0,0.0,0.0,17.551966647619057,19225.047371265893,159316.4005125446,399.1445859742364,4172796.501769944,-0.9978897755393685,0.07971835115403358,7.0,105.0,798.6145,-710.495,138.53801104953502,427.6037508719031,206.97403453455524,495.0647074265168,342.845762558728,3.527294994430065,-0.024780543389918974,342.845762558728,3.527294994430065,-0.024780543389918974,342.845762558728,3.527294994430065,-0.024780543389918974,342.845762558728,3.527294994430065,-0.024780543389918974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.11227383125002,66205.34257450682,874469.2255064178,935.1305927550535,3.5052927273398176E7,-0.7602915521244951,0.03449015538278821,11.0,160.0,1873.2697,-2200.9734
Finger1,175.01420477716695,398.917235608408,190.53024754733468,461.93738148641665,217.99749114971587,77.59056688610849,-6.684546902217079,0.0,0.0,0.0,217.99749114971587,77.59056688610849,-6.684546902217079,217.99749114971587,77.59056688610849,-6.684546902217079,1.0,1.9542365804489745,248150.36634928413,0.0,0.35336503879773723,9783958.346659277,0.0,0.0,0.0,0.0,0.0,0.0,524.8469792857143,4638.062551996103,231440.35514558357,481.0824826841896,1706590.4265363836,-0.9490163366702733,-0.7125433928261328,1.0,14.0,1033.3649,-439.69116,91.70760289714542,346.2838730210282,42.422111685443824,393.6429807827378,346.6607434743296,-47.88285126978019,-0.6711366489736292,346.6607434743296,-47.88285126978019,-0.6711366489736292,346.6607434743296,-47.88285126978019,-0.6711366489736292,346.6607434743296,-47.88285126978019,-0.6711366489736292,11.0,17.193123772328132,2.4637145892206577E10,0.0,0.0,0.0,1.0,0.8367842013270447,3.817777021487338E7,0.0,0.0,0.0,-16.457177715555556,57311.04064288549,965083.6238690958,982.3866977260511,3.2377066997415625E7,-0.6673156493237649,-0.5685325206537907,10.0,135.0,1561.9812,-2260.6934
