Klasse,minimumSteigungWert,maximumSteigungWert,minimumSenkungWert,maximumSenkungWert,steigungA,steigungB,steigungC,senkungA,senkungB,senkungC,mittelA,mittelB,mittelC,gesamtA,gesamtB,gesamtC,fftAnfangMedian,fftAnfangMittel,fftAnfangPSD,fftMitteMedian,fftMitteMittel,fftMittePSD,fftEndeMedian,fftEndeMittel,fftEndePSD,fftGesamtMedian,fftGesamtMittel,fftGesamtPSD,mittelwert,signalstärke,varianz,standardabweichung,energie,kurtosis,schiefe,zeroCrossings,laenge,maximalwert,minimalwert,minimumSteigungWert,maximumSteigungWert,minimumSenkungWert,maximumSenkungWert,steigungA,steigungB,steigungC,senkungA,senkungB,senkungC,mittelA,mittelB,mittelC,gesamtA,gesamtB,gesamtC,fftAnfangMedian,fftAnfangMittel,fftAnfangPSD,fftMitteMedian,fftMitteMittel,fftMittePSD,fftEndeMedian,fftEndeMittel,fftEndePSD,fftGesamtMedian,fftGesamtMittel,fftGesamtPSD,mittelwert,signalstärke,varianz,standardabweichung,energie,kurtosis,schiefe,zeroCrossings,laenge,maximalwert,minimalwert,minimumSteigungWert,maximumSteigungWert,minimumSenkungWert,maximumSenkungWert,steigungA,steigungB,steigungC,senkungA,senkungB,senkungC,mittelA,mittelB,mittelC,gesamtA,gesamtB,gesamtC,fftAnfangMedian,fftAnfangMittel,fftAnfangPSD,fftMitteMedian,fftMitteMittel,fftMittePSD,fftEndeMedian,fftEndeMittel,fftEndePSD,fftGesamtMedian,fftGesamtMittel,fftGesamtPSD,mittelwert,signalstärke,varianz,standardabweichung,energie,kurtosis,schiefe,zeroCrossings,laenge,maximalwert,minimalwert
Finger5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,199.0164201768162,420.1046478983686,101.6665543326437,472.2446112452365,0.0,0.0,0.0,420.17419711128014,-52.429204589757546,1.6681800595847562,0.0,0.0,0.0,114.36420659139003,101.77887839791424,-7.649046396653034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-542.5212333571428,4598.4078287744605,156818.3241875433,396.0029345693581,1694448.1781966377,-1.780012892598905,0.10970022399805344,0.0,14.0,-55.08728,-1043.4357,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Finger5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,169.99261829770415,342.00793164321294,109.80154578218672,403.13437428221204,189.40463102844933,38.816494960505,-1.7591763941779135,189.40463102844933,38.816494960505,-1.7591763941779135,189.40463102844933,38.816494960505,-1.7591763941779135,189.40463102844933,38.816494960505,-1.7591763941779135,1.0,0.9600751188265547,1712551.0621782013,1.0,0.9141553422971808,7.011052639753073E7,3.0,2.8553382238760685,1.0199225299067648E7,0.0,0.0,0.0,-301.5323622083333,7652.385027250911,351091.46243231045,592.5297143876503,2630775.5825826456,-0.9634888900770222,0.7005076402757394,1.0,24.0,858.23364,-881.6986,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Finger5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13.973576274571228,225.71993148321218,137.437929726853,249.07948528016206,126.884353116851,-0.7534788539411466,0.017764309547020574,126.884353116851,-0.7534788539411466,0.017764309547020574,126.884353116851,-0.7534788539411466,0.017764309547020574,126.884353116851,-0.7534788539411466,0.017764309547020574,3.0,5.281787879411206,6290684.942802046,0.0,0.0,140501.43090739206,0.0,0.0,0.0,0.0,0.0,0.0,105.21828760714286,3391.0535469117663,75025.91644974146,273.908591412795,553388.6284603759,-0.9400347538063456,0.47655145223572,5.0,28.0,691.25977,-247.64099,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Finger5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,137.46693925674862,393.95545860659837,169.87606626147868,423.3645274021858,188.74597412592516,84.57219432048225,-8.50263494409647,188.74597412592516,84.57219432048225,-8.50263494409647,188.74597412592516,84.57219432048225,-8.50263494409647,188.74597412592516,84.57219432048225,-8.50263494409647,1.0,1.2564563562469895,906573.0660505984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.2387966666667,3544.3832348375663,235255.08091375465,485.0310102599159,1163045.9397613986,-1.7839615511226645,-0.2758417389052652,1.0,12.0,949.07227,-254.38843,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Finger5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54.02811006730211,283.7750222585921,166.4803247698365,339.22845053513953,120.14586245186956,41.99529871908703,-2.6784779558549374,120.14586245186956,41.99529871908703,-2.6784779558549374,120.14586245186956,41.99529871908703,-2.6784779558549374,120.14586245186956,41.99529871908703,-2.6784779558549374,1.0,1.6991522401689587,1.8379922892916553E7,0.0,0.0,975439.5843279025,1.0,0.8559492736547705,2.458753548571241E7,0.0,0.0,0.0,98.13995555555556,3806.8230781543957,213759.6891995117,462.34152874202385,929704.1702247557,-1.5808334236850905,0.2054888702299206,1.0,18.0,817.2455,-493.67065,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Finger5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,99.86830012143713,319.3004579055988,93.34907698352266,393.7334162111539,389.28412051158307,-14.446098327636719,-14.446102142333984,117.14632327863023,80.87620499077423,-6.67421631763046,117.14632327863023,80.87620499077423,-6.67421631763046,117.14632327863023,80.87620499077423,-6.67421631763046,1.0,1.6641878673249078,106460.08909026021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383.7334782857143,3533.6000170934058,153634.44214030268,391.96229683517095,1042110.0313437481,-1.7356574319355986,-0.21502502608655222,1.0,14.0,835.1715,-122.561646,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Finger5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,101.69357620345386,491.31209761867103,221.9432267331673,523.9250129893645,226.60692124474258,110.26876209103875,-10.453755658904967,226.60692124474258,110.26876209103875,-10.453755658904967,226.60692124474258,110.26876209103875,-10.453755658904967,226.60692124474258,110.26876209103875,-10.453755658904967,0.0,0.8568729504192942,730215.3006457711,0.0,0.0,2940730.8606561655,1.0,0.8345170029365169,6.992359721502255E7,0.0,0.0,0.0,630.7420018461537,4751.912243260498,240309.15426791427,490.2133762637595,2007545.1782656934,-1.2058806393365333,-0.5020062335401237,1.0,13.0,1180.3986,-289.53552,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Finger5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,90.0696019282211,563.5427672056497,113.58703323705136,666.2222414818668,36.891383336831495,154.30369963912904,-10.370590457439718,36.891383336831495,154.30369963912904,-10.370590457439718,36.891383336831495,154.30369963912904,-10.370590457439718,36.891383336831495,154.30369963912904,-10.370590457439718,1.0,0.9519997773519177,1.2508500830453327E7,0.0,0.0,5431625.04387409,1.0,0.8450916809218058,9.148802684837435E7,0.0,0.0,0.0,708.027649375,6247.173923228467,285334.7965514129,534.1673862670884,3095122.001724428,-1.5924419986938654,0.06701015767741178,1.0,16.0,1474.3652,-114.10217,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Finger5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,159.82633242244736,363.50763551550347,63.737811963339375,428.99918618798876,437.51306503320734,-12.291900634765625,-12.291900634765625,437.51306503320734,-12.291900634765625,-12.291900634765625,437.51306503320734,-12.291900634765625,-12.291900634765625,437.51306503320734,-12.291900634765625,-12.291900634765625,10.0,16.34198104668415,4.60618569780489E8,0.0,0.0,2157450.670195164,0.0,0.0,0.0,0.0,0.0,0.0,6.515172430630617,9678.227524180455,80731.06770032605,284.1321307073983,2300910.3899230734,3.0139359522924156,0.7593506374681339,10.0,111.0,973.645,-639.9994,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Finger5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,110.6633246023665,260.8869259338814,99.03547831295009,300.9852720406645,177.42686088919834,-2.748139657593706,0.010764327405769498,177.42686088919834,-2.748139657593706,0.010764327405769498,177.42686088919834,-2.748139657593706,0.010764327405769498,177.42686088919834,-2.748139657593706,0.010764327405769498,6.0,8.536976619178628,8.071992978708023E7,0.0,0.0,368531.398786337,0.0,0.0,0.0,0.0,0.0,0.0,14.281918770210076,12789.645052566775,33399.48144479672,182.7552501155486,2042898.9403972134,4.717159217616299,1.859282709490877,21.0,238.0,793.7805,-346.43555,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
