Klasse,minimumSteigungWert,maximumSteigungWert,minimumSenkungWert,maximumSenkungWert,steigungA,steigungB,steigungC,senkungA,senkungB,senkungC,mittelA,mittelB,mittelC,gesamtA,gesamtB,gesamtC,fftAnfangMedian,fftAnfangMittel,fftAnfangPSD,fftMitteMedian,fftMitteMittel,fftMittePSD,fftEndeMedian,fftEndeMittel,fftEndePSD,fftGesamtMedian,fftGesamtMittel,fftGesamtPSD,mittelwert,signalstärke,varianz,standardabweichung,energie,kurtosis,schiefe,zeroCrossings,laenge,maximalwert,minimalwert,minimumSteigungWert,maximumSteigungWert,minimumSenkungWert,maximumSenkungWert,steigungA,steigungB,steigungC,senkungA,senkungB,senkungC,mittelA,mittelB,mittelC,gesamtA,gesamtB,gesamtC,fftAnfangMedian,fftAnfangMittel,fftAnfangPSD,fftMitteMedian,fftMitteMittel,fftMittePSD,fftEndeMedian,fftEndeMittel,fftEndePSD,fftGesamtMedian,fftGesamtMittel,fftGesamtPSD,mittelwert,signalstärke,varianz,standardabweichung,energie,kurtosis,schiefe,zeroCrossings,laenge,maximalwert,minimalwert,minimumSteigungWert,maximumSteigungWert,minimumSenkungWert,maximumSenkungWert,steigungA,steigungB,steigungC,senkungA,senkungB,senkungC,mittelA,mittelB,mittelC,gesamtA,gesamtB,gesamtC,fftAnfangMedian,fftAnfangMittel,fftAnfangPSD,fftMitteMedian,fftMitteMittel,fftMittePSD,fftEndeMedian,fftEndeMittel,fftEndePSD,fftGesamtMedian,fftGesamtMittel,fftGesamtPSD,mittelwert,signalstärke,varianz,standardabweichung,energie,kurtosis,schiefe,zeroCrossings,laenge,maximalwert,minimalwert
Finger3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72.05785672184642,235.38762615618097,79.54561222308799,274.3359451174598,290.99237716408356,6.77846887612759,-8.103138439500981,160.19833106813485,-3.6751405668569532,0.1669176909896386,290.99237716408356,6.77846887612759,-8.103138439500981,168.3588127690432,4.6844987811163605,-0.1605098580535378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-84.09370514999998,7091.389077296398,134672.90362310447,366.9780696759746,1400986.119062691,-0.954304893528811,0.6013976339582051,2.0,40.0,681.9946,-540.7013,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Finger3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,141.35571127893934,497.530596676626,122.86580662910171,525.0509482108637,49.250381637403734,90.72580366406908,-5.211603280529019,49.250381637403734,90.72580366406908,-5.211603280529019,49.250381637403734,90.72580366406908,-5.211603280529019,49.250381637403734,90.72580366406908,-5.211603280529019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.70254423529417,5379.407278970373,420435.15984152793,648.4097160295548,2003774.5396076518,-1.633991450785291,0.2089937670877168,3.0,17.0,1214.8407,-609.38416,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Finger3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,71.42112240761757,280.4373167409231,71.08763546574346,322.666898016798,-1.8694710327713437,31.402295383640705,-1.1208278205585458,-1.8694710327713437,31.402295383640705,-1.1208278205585458,-1.8694710327713437,31.402295383640705,-1.1208278205585458,-1.8694710327713437,31.402295383640705,-1.1208278205585458,1.0,1.637312626854482,2220868.89641363,0.0,0.35565569322752305,4347825.03018474,0.0,0.0,0.0,0.0,0.0,0.0,-166.78504925083334,3775.706724984449,119028.49516733513,345.0050654227197,855028.6531726576,-1.318742185489901,-0.4835501891918608,2.0,24.0,278.25623,-770.9198,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Finger3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,103.32624988204313,325.2067407538648,110.94044447493698,402.9136972130864,104.3619879009184,66.85119099500832,-3.451849088112347,104.3619879009184,66.85119099500832,-3.451849088112347,104.3619879009184,66.85119099500832,-3.451849088112347,104.3619879009184,66.85119099500832,-3.451849088112347,0.0,0.0,0.0,1.0,0.8311484899194486,8.506253750706421E7,0.0,0.0,0.0,0.0,0.0,0.0,560.2242603333333,6323.544973032174,102652.22029151647,320.39385183164245,2180401.2377823996,-0.9655733292711659,-0.6845209534378278,1.0,21.0,901.13525,-98.69385
Finger3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,124.55152763911572,315.7489135458581,114.34709647968774,352.12329912457375,112.2135964338454,66.84090414524678,-4.261648903783566,112.2135964338454,66.84090414524678,-4.261648903783566,112.2135964338454,66.84090414524678,-4.261648903783566,112.2135964338454,66.84090414524678,-4.261648903783566,1.0,0.9270366589286245,1298512.5347230546,0.0,0.7921159363495324,2.3431330675781514E7,0.0,0.0,0.0,0.0,0.0,0.0,480.3238828235294,4622.567344190865,92432.84802578091,304.0277093058804,1402612.6268419102,-1.1162369294484256,-0.5999713648271748,1.0,17.0,817.84973,-112.18872
Finger3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42.37984548568219,306.32710698945016,144.31856387757708,360.137293184207,99.36004214908343,-0.6911707266394131,0.0017347122553498552,99.36004214908343,-0.6911707266394131,0.0017347122553498552,99.36004214908343,-0.6911707266394131,0.0017347122553498552,99.36004214908343,-0.6911707266394131,0.0017347122553498552,1.0,1.5037387154106476,355819.20230038883,0.0,0.0,1513017.0982657596,0.0,0.0,0.0,0.0,0.0,0.0,-15.97660596601647,18276.902916978313,22170.07436349305,148.89618653106282,2006428.4328323728,7.084298710040237,-1.4394699577209127,30.0,364.0,413.8092,-812.6129,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Finger3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72.46939632588652,286.97929126151416,126.75506519389779,267.27331272245743,290.46740728389807,-62.250283228439,3.582337471892714,105.91908122964082,55.780653849649525,-3.0963242331131084,290.46740728389807,-62.250283228439,3.582337471892714,105.91908122964082,55.780653849649525,-3.0963242331131084,2.0,1.641322875863455,76913.47573653933,1.0,1.6048390827663839,7.144887344555357E7,0.0,0.0,0.0,0.0,0.0,0.0,460.84991819899994,5068.785001296018,83725.08901462606,289.352879741374,1464917.8412346873,-0.7023269155778298,-0.8035941716692856,1.0,20.0,765.683,-149.04785
Finger3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,102.43824827180461,360.2373999244559,149.2701004935958,388.6989076907988,134.93195187023662,78.21521484852474,-5.938425969970609,134.93195187023662,78.21521484852474,-5.938425969970609,134.93195187023662,78.21521484852474,-5.938425969970609,134.93195187023662,78.21521484852474,-5.938425969970609,1.0,0.8608314987383099,5390750.416251768,0.0,0.3528763396674379,7081150.226164559,0.0,0.0,0.0,0.0,0.0,0.0,537.290648,4209.0744789778155,69765.48781303121,264.1315729196932,1338383.1117261194,-1.7020704314765605,-0.0931459506227205,0.0,15.0,888.44604,182.98645
Finger3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10.934612920938736,152.05777071158715,128.96783026955853,207.34847912654183,49.75907890653423,-0.9584629287780171,0.006400335130940696,49.75907890653423,-0.9584629287780171,0.006400335130940696,49.75907890653423,-0.9584629287780171,0.006400335130940696,49.75907890653423,-0.9584629287780171,0.006400335130940696,1.0,1.7621615060776223,6.018468784519462E7,0.0,0.3507447483312639,1273479.18784717,0.0,0.0,0.0,0.0,0.0,0.0,-12.041174480966198,10068.501251141894,21101.79445788095,145.26456711077535,1073905.392361962,3.958518990815903,-0.04377843114665736,13.0,207.0,526.30005,-535.8673,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Finger3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17.375137186533493,116.42259127480126,83.71557910914497,151.11387863509495,70.71650228429365,-0.13553107891331062,1.054850396941978E-4,61.24586456294156,-0.07487924350146624,4.494462802412489E-5,0.0,0.0,0.0,0.0,0.0,0.0,46.0,67.79982685935471,1.2776468093205385E9,0.0,0.3455635056713656,1187880.646428533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
